Sep=,
DAQ,Date,Time,A0,A3,B5,Humidity (SCD30),CO2 (SCD30),VOC(SGP40)
1,0-1-1,0:14:37,0.22,0.24,112,32.23,520.0,31970
1,0-1-1,0:14:41,0.22,0.24,103,32.16,520.0,31979
1,0-1-1,0:14:44,0.22,0.24,138,32.26,518.0,31975
1,0-1-1,0:14:47,0.22,0.24,126,32.25,516.0,31978
1,0-1-1,0:14:50,0.22,0.24,12,32.21,514.0,31983
1,0-1-1,0:14:53,0.22,0.24,128,32.19,514.0,31986
1,0-1-1,0:14:56,0.22,0.24,226,32.2,514.0,31991
1,0-1-1,0:14:59,0.22,0.24,128,32.32,513.0,31991
1,0-1-1,0:15:3,0.22,0.24,133,32.32,512.0,32010
1,0-1-1,0:15:6,0.22,0.24,126,32.37,511.0,32003
1,0-1-1,0:15:9,0.22,0.24,139,32.39,510.0,32006
1,0-1-1,0:15:12,0.22,0.24,110,32.37,510.0,32011
1,0-1-1,0:15:15,0.22,0.24,128,32.37,509.0,32023
1,0-1-1,0:15:18,0.22,0.24,153,32.42,508.0,32038
1,0-1-1,0:15:22,0.22,0.24,133,32.45,507.0,32039
1,0-1-1,0:15:25,0.21,0.24,212,32.44,505.0,32038
1,0-1-1,0:15:28,0.22,0.24,120,32.44,504.0,32055
1,0-1-1,0:15:31,0.22,0.24,190,32.42,505.0,32063
1,0-1-1,0:15:34,0.22,0.24,127,32.45,505.0,32054
1,0-1-1,0:15:37,0.22,0.24,127,32.5,504.0,32055
1,0-1-1,0:15:41,0.22,0.24,129,32.5,501.0,32062
1,0-1-1,0:15:44,0.22,0.24,115,32.55,502.0,32079
1,0-1-1,0:15:47,0.22,0.24,122,32.66,502.0,32099
1,0-1-1,0:15:50,0.22,0.24,117,32.66,503.0,32110
1,0-1-1,0:15:53,0.22,0.24,138,32.72,503.0,32111
1,0-1-1,0:15:56,0.22,0.24,116,32.73,501.0,32106
1,0-1-1,0:15:0,0.22,0.24,189,32.69,498.0,32115
1,0-1-1,0:16:3,0.22,0.24,151,32.72,495.0,32127
1,0-1-1,0:16:6,0.22,0.24,160,32.64,495.0,32134
1,0-1-1,0:16:9,0.22,0.24,136,32.76,490.0,32135
1,0-1-1,0:16:12,0.22,0.24,137,32.74,489.0,32142
1,0-1-1,0:16:15,0.22,0.24,151,32.67,486.0,32155
1,0-1-1,0:16:18,0.22,0.24,122,32.7,486.0,32167
1,0-1-1,0:16:22,0.22,0.24,166,32.79,486.0,32166
1,0-1-1,0:16:25,0.22,0.24,122,32.79,486.0,32175
1,0-1-1,0:16:28,0.22,0.24,148,32.78,485.0,32174
1,0-1-1,0:16:31,0.21,0.24,123,32.81,484.0,32175
1,0-1-1,0:16:34,0.22,0.24,179,32.76,482.0,32183
1,0-1-1,0:16:37,0.22,0.24,129,32.76,482.0,32178
